ID,标题,内容,原始链接,量科链接,来源域名,原始日期,量科日期,标签
240,澳大利亚与国际研究人员合作发表量子计算在能源领域的发展路线图,"2026年5月28日——现代电力系统正快速演变为高度数字化的智能电网，其复杂性与日俱增。可再生能源、电池、电动汽车、电力电子设备、传感器以及实时控制系统均在迅猛发展，这使得电网的模拟、优化、安全防护与运行变得愈发困难。
这一趋势背后的驱动力源自技术驱动的现代世界日益增长的能源需求。不妨想象2005年的一条郊区街道——每户人家都从电网取电，电力从大型发电站单向传输。而到了2026年，同一条街道上的房屋可能已安装屋顶太阳能板，能将电力反送回电网；电动汽车需要夜间充电；家用电池储存太阳能，并在电价飙升时将其回馈给电网；还有电动公交车、电动灌溉泵、自动化机械以及根据电网信号自动开关的智能家电。
原本简单的单向电网，突然之间变成了一个动态、双向、时刻变化的网络，供需状况每分钟都在变动。
澳大利亚联邦科学与工业研究组织（CSIRO）量子系统团队与国际研究人员合作，在《自然综述·电气工程》上发表了一项研究，为将激动人心的量子计算新领域与这些能源系统的管理相结合，绘制了一份路线图，指出了潜在机遇与挑战。
随着电网接近物理与计算极限，CSIRO量子研究科学家王泽恒博士解释称，诸如电线杆和电缆等工程基础设",https://www.csiro.au/en/news/All/Articles/2026/May/Quantum-computing-could-supercharge-the-energy-transition,http://www.qtc.com.cn/article/178020870733461.html,www.csiro.au,,2026-05-31,"[""量子计算"", ""AI/ML"", ""企业资讯"", ""科技前沿"", ""宏观态势"", ""宏观态势""]"
239,麻省理工学院计划新建量子系统实验室，以加速下一代量子技术发展,"2026年5月28日——麻省理工学院（MIT）校长莎莉·科恩布鲁斯（Sally Kornbluth）与马萨诸塞州州长莫拉·希利（Maura Healey）于5月28日共同宣布，计划建设一座新实验室，以加速下一代量子技术的发展，助力马萨诸塞州保持在量子创新领域的全国枢纽地位。
在校园山姆伯格会议中心发表讲话时，两位领导人介绍了MIT量子系统实验室（QSL）——一个共享使用设施，将推动该地区的量子技术发展，并帮助美国保持在被视为对多个产业至关重要的技术前沿。
科恩布鲁斯表示：“量子技术有潜力在计算、安全、导航、健康科学、国防技术和太空探索等领域推动变革性发展。大波士顿地区拥有全球最集中的量子人才，一段时间以来，我们清楚地认识到，如果能通过合适的设施——一个共享的量子工具箱——放大这些人才的潜力，就能将马萨诸塞州打造为量子创新的国家中心，并助力下一代量子技术的催生。”
量子系统实验室将把一台最先进的量子计算机与所需组件相结合，使其成为可扩展、实用的技术，用于解决复杂的现实问题。这些组件包括外围硬件，如传感器和量子互连——传输量子信息的物理通道。该设施位于MIT第39号楼，将向MIT内外研究人",https://news.mit.edu/2026/new-laboratory-aims-to-advance-quantum-research-nation-0528,http://www.qtc.com.cn/article/178021032733462.html,news.mit.edu,2026-05-28,2026-05-31,"[""量子计算"", ""融资商业"", ""产品动态"", ""企业资讯"", ""政策标准"", ""科技前沿"", ""宏观态势"", ""宏观态势""]"
238,大阪大学研究人员设计的钴蜂巢结构有望推动量子计算进步,"2026年5月28日 -- 蜂巢以其优雅的设计而闻名，但现在它们可能找到了新的应用领域：量子计算。为了从亚原子粒子中获取信息，量子计算机需要经过精心设计、能够执行必要复杂功能的材料。然而，所使用的金属，如钌和铱，往往稀有且昂贵，限制了新技术的开发潜力。
在最近发表于《Physical Review Materials》的一篇文章中，大阪大学SANKEN研究所的研究人员与合作机构报告了一种特殊薄膜材料的制造，其中钴原子在更大的蜂巢状矩阵内形成了局部的蜂巢排列。这些钴蜂巢结构表现出强烈的磁相互作用，这对量子计算应用很重要。
Kitaev材料是一类因其在量子信息科学中的潜在应用而被研究的量子磁性材料，因其可能承载被称为自旋液体的奇异量子态而备受关注。
与典型的液态物质不同，在自旋液体中，即使温度下降，自旋的排列也能保持流体状态。这是因为针状自旋在无法满足所有作用于其上的力时，会不断翻转。形成这些液体的一种方法是使用蜂巢状晶格，在这种晶格中，相邻磁性离子之间的强相互作用可能强烈竞争。
“这一领域的先前工作很大程度上局限于像钌和铱这样的稀有金属，”第一作者李浩波表示。“我们提出疑问，钴作为地球上",https://www.sanken.osaka-u.ac.jp/en/achievement/release/20260528.html,http://www.qtc.com.cn/article/178021224733463.html,www.sanken.osaka-u.ac.jp,2026-05-28,2026-05-31,"[""量子计算"", ""企业资讯"", ""半导体"", ""科技前沿"", ""科技前沿""]"
237,Q-CTRL发布白皮书：预计到2027年将为国防物流领域带来量子优势,"2026年5月28日——Q-CTRL 今日发布白皮书，展示了其凭借业界领先的性能管理软件，量子计算机在近期即可为军方解决复杂计算问题。Q-CTRL 预计，到2027年，量子计算将在某些高价值国防后勤应用中实现优势，这标志着优先将量子技术融入 C4ISR（指挥、控制、通信、计算机、情报、监视与侦察）路线图的国防领导者将获得战略先机。
现代国防系统必须把握后勤与作战规划中的每一项能力，以确保战场主导地位。量子技术被美国国防部指定为关键技术，代表着该领域的下一个前沿。通过一系列详细的案例研究，Q-CTRL 阐述了当下采用量子技术如何能够为军队带来作战韧性、强化防御态势，并实现战术上的压倒性优势。
“在当今的威胁环境下，作战人员面临着从多个方向同时袭来的协同无人机系统、巡航导弹和弹道威胁，”美国导弹防御局联合测试执行部 JICO 的 James Otten 表示。“通过将量子优化融入主动防御架构，我们能够压缩从 C5ISR（指挥、控制、通信、计算机、网络、情报、监视与侦察）感知、战术决策到拦截器部署之间的决策周期。其结果是形成一种更快、更具适应性的防御态势，能够最大化利用有限资产，扩大防御战场",https://q-ctrl.com/blog/q-ctrl-defines-the-path-to-quantum-battlefield-information-dominance-for-core-military-problems-in-promising-new-outlook,http://www.qtc.com.cn/article/178021284733468.html,q-ctrl.com,2026-05-28,2026-05-31,"[""量子计算"", ""融资商业"", ""产品动态"", ""企业资讯"", ""半导体"", ""科技前沿"", ""宏观态势""]"
236,物理学家发现一种在纳米尺度更好控制光的新方法,"2026年5月28日 —— 物理学家们开发出了一种微型非线性光源，可以通过一个电“旋钮”来开启、关闭或调节至特定强度。
《Optica》期刊发表了这项由埃默里大学领导的研究，该成果可能有助于设计更小、更灵活的通信、传感和量子计算技术。
新方法聚焦于一种被称为二次谐波生成（SHG）的非线性光学类型，其中两个相同频率的光子与材料相互作用，合并成一个频率加倍的光子。
“此前没有人证明过，在如此小的器件中，你可以通过电旋钮来调节二次谐波生成，”论文资深作者、埃默里大学物理学教授Hayk Harutyunyan说。
整个集成组件的宽度略大于200纳米，比人类头发丝的宽度还要小100倍以上。而其中光产生的活性区域仅宽2到6纳米，比大多数现有的二次谐波生成器件小几十倍，且可控性要高得多。
“我们可以开启我们的器件、完全关闭它，并在500%的范围内提高或降低其强度，”Harutyunyan说。
埃默里大学詹姆斯·T·兰尼研究生院的博士生Yuankai Tang是该论文的第一作者。
共同作者包括英国剑桥大学的Amit Agrawal；新加坡国立大学的Ariando Ariando和Saurav Prak",https://news.emory.edu/features/2026/05/esc_new_control_nanoscale_light_28-05-2026/index.html,http://www.qtc.com.cn/article/178021404033465.html,news.emory.edu,,2026-05-31,"[""量子计算"", ""光量子"", ""产品动态"", ""半导体"", ""科技前沿"", ""科技前沿""]"
235,科学家开发新框架以通过量子纠缠理解化学键科学家开发新框架以通过量子纠缠理解化学键,"2026年5月28日——化学键是微观世界的主要组织原则之一。它决定了原子如何结合，从而控制着从单分子、生物分子到宏观固体材料等众多尺度下量子体系的广泛物理和化学性质。然而，尽管化学键具有根本重要性，并在高中科学教育中就已占据突出地位，但令人惊讶的是，从量子力学的角度来看，它仍然难以捉摸。化学键对于描述物质是必不可少的，尽管它们并非直接可观测的量。
在近期发表于《自然通讯》(Nature Communications)的一篇文章中，由LMU物理学家、慕尼黑量子科学与技术卓越集群(MCQST)成员Christian Schilling博士领导的研究小组，利用量子信息论的概念，解决了这一长期存在的挑战。基于他们在量子化学轨道纠缠方面的专长，Christian Schilling及其博士生Lexin Ding（现为苏黎世联邦理工学院ETH Fellow）与来自西班牙圣塞巴斯蒂安国际物理中心的合作者Eduard Matito共同开发了一个通过量子纠缠理解化学键的新框架。
研究人员引入了最大纠缠原子轨道(MEAOs)的概念，其纠缠模式以自然且系统的方式揭示了分子的成键结构。值得注意的是，该框架不仅",https://www.lmu.de/en/newsroom/news-overview/news/quantum-physics-a-matter-of-bonding-358e7fe1.html,http://www.qtc.com.cn/article/178021584033464.html,www.lmu.de,,2026-05-31,"[""企业资讯"", ""科技前沿"", ""宏观态势"", ""科技前沿""]"
234,IBM将量子计算机“送进”课堂，一年期学生账号每月可白嫖10分钟,IBM近日在首届量子教育日上宣布推出Classroom Account（课堂账户）功能，为教育工作者提供向大规模学生群体免费开放真实量子计算机使用权限的新途径。该账户支持教师为5至100名学生统一注册并管理平台资源，无需绑定信用卡，即可获得IBM量子资源的访问权限。每位学生每月享有10分钟的真实量子设备使用时长，账户有效期为365天，可帮助学生获得超越模拟器的迭代学习与实践体验。,https://www.ibm.com/quantum/blog/classroom-accounts,http://www.qtc.com.cn/flash/178020846033480.html,www.ibm.com,,2026-05-31,"[""量子计算"", ""产品动态"", ""宏观态势"", ""产品动态""]"
233,AISA警告：政府和关键基础设施组织严重低估量子计算带来的网络安全风险,澳大利亚信息安全协会（AISA）近日警告称，政府及关键基础设施组织正低估量子计算技术发展带来的网络安全风险。该协会指出，许多机构需从现在起着手规划向后量子安全的过渡。AISA表示，尽管量子计算带来的威胁看似遥远，但许多组织忽视了确保系统长期安全所需的准备工作，必须识别当前使用中的脆弱加密技术，并规划系统升级路径。该机构称，资产与数据可见性不足仍是主要障碍，从近期多起网络事件看，许多机构对其IT资产和数据缺乏清晰了解，识别需要升级为抗量子加密的部分、制定并执行计划，所需时间可能远超预期。,https://itbrief.com.au/story/australia-warned-over-quantum-cyber-security-risks,http://www.qtc.com.cn/flash/178021046033482.html,itbrief.com.au,2026-05-29,2026-05-31,"[""量子计算"", ""后量子密码"", ""宏观态势""]"
232,我国研究人员利用超冷原子成功实验生成大规模薛定谔猫态,南方科技大学与粤港澳大湾区量子科学中心的研究人员近日利用超冷原子成功实验生成了大规模薛定谔猫态。他们并非直接构建大质量粒子，而是通过构建结合相互作用相对较弱的原子团簇，使物质波包在粒子数增加时不会急剧收缩，进而利用相互作用控制的高阶隧穿过程——实验中实现了高达七阶的隧穿——并将其调谐至与单原子相媲美的隧穿强度。这项研究生成的猫态理论上可实现海森堡极限灵敏度。相关研究成果已发表在《自然物理学》上，它为在大尺度量子系统中实现量子隧穿以及开发高精度量子传感器或测量工具开辟了新可能。,https://phys.org/news/2026-05-generation-massive-schrdinger-cat-states.html,http://www.qtc.com.cn/flash/178021146033483.html,phys.org,,2026-05-31,"[""量子传感"", ""科技前沿"", ""科技前沿""]"
231,研究人员设计出量子版本的摆钟，能自主运行且比以往技术更精准,一个国际研究团队最近设计出一款量子版本的摆钟，研究成果已发表在《物理评论A》上。据介绍，这款量子摆钟能够自主运行，且比以往的量子时钟更为精准。该研究团队使用解析和数值方法分析了其准确性与性能，将精度定义为时钟在偏离一个刻度之前的平均滴答次数。他们发现，该量子摆钟违反了热力学不确定性关系（TUR），因此在给定熵产出条件下，其精度要优于其他自主时钟。这项研究为探索从量子到经典计时方式的转变提供了新途径，有望推动更高效量子计时器件的发展，并改进量子技术中的噪声工程。,https://phys.org/news/2026-05-quantum-pendulum-clock-classical-accuracy.html,http://www.qtc.com.cn/flash/178021246033484.html,phys.org,,2026-05-31,"[""科技前沿"", ""科技前沿""]"
